id,Title,Content,SKU,"Product Type","Parent Product ID",Trucks,Wheels,"Product Attributes","Regular Price"
1914,"Hibiscus Complet",,1694-1914,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Zenit 78a - 60mm",,200
1915,"Hibiscus Complet",,1694-1915,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Zenit 78a - 70mm",,200
1913,"Hibiscus Complet",,1694-1913,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Onsen 100a",,200
1912,"Hibiscus Complet",,1694-1912,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Skiffs 80a",,200
1910,"Hibiscus Complet",,1694-1910,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Skiffs 86a",,200
1911,"Hibiscus Complet",,1694-1911,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Skiffs 83a",,200
1906,"Hibiscus Complet",,1694-1906,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Kilmer 80a",,200
1905,"Hibiscus Complet",,1694-1905,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Kilmer 83a",,200
1907,"Hibiscus Complet",,1694-1907,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Orangatang Keanu 86a 66mm",,200
1908,"Hibiscus Complet",,1694-1908,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Orangatang Keanu 83a 66mm",,200
1909,"Hibiscus Complet",,1694-1909,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Orangatang Keanu 80a 66mm",,200
1903,"Hibiscus Complet",,1694-1903,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Kegels 80a",,100
1901,"Hibiscus Complet",,1694-1901,variable,1694,"Paris Street Trucks RAW 169mm TKP","Zenit 78a - 60mm",,100
1902,"Hibiscus Complet",,1694-1902,variable,1694,"Paris Street Trucks RAW 169mm TKP","Zenit 78a - 70mm",,100
1904,"Hibiscus Complet",,1694-1904,variable,1694,"Independent - Forged Titanium Stg 11 - 169mm","Kegels 83a",,100
1900,"Hibiscus Complet",,1694-1900,variable,1694,"Paris Street Trucks RAW 169mm TKP","Onsen 100a",,100
1899,"Hibiscus Complet",,1694-1899,variable,1694,"Paris Street Trucks RAW 169mm TKP","Skiffs 80a",,100
1895,"Hibiscus Complet",,1694-1895,variable,1694,"Paris Street Trucks RAW 169mm TKP","Orangatang Keanu 83a 66mm",,100
1898,"Hibiscus Complet",,1694-1898,variable,1694,"Paris Street Trucks RAW 169mm TKP","Skiffs 83a",,100
1896,"Hibiscus Complet",,1694-1896,variable,1694,"Paris Street Trucks RAW 169mm TKP","Orangatang Keanu 80a 66mm",,100
1897,"Hibiscus Complet",,1694-1897,variable,1694,"Paris Street Trucks RAW 169mm TKP","Skiffs 86a",,100
1894,"Hibiscus Complet",,1694-1894,variable,1694,"Paris Street Trucks RAW 169mm TKP","Orangatang Keanu 86a 66mm",,100
1893,"Hibiscus Complet",,1694-1893,variable,1694,"Paris Street Trucks RAW 169mm TKP","Kilmer 80a",,100
1892,"Hibiscus Complet",,1694-1892,variable,1694,"Paris Street Trucks RAW 169mm TKP","Kilmer 83a",,100
1888,"Hibiscus Complet",,1694-1888,variable,1694,"Paris Trucks Black 150mm 50° RKP","Zenit 78a - 60mm",,100
1890,"Hibiscus Complet",,1694-1890,variable,1694,"Paris Street Trucks RAW 169mm TKP","Kegels 80a",,100
